Qatar-6 A b,3.506189,0.0423
Qatar-5 b,2.8792319,0.04127
Qatar-4 b,1.8053949,0.02861
Qatar-3 b,2.5079204,0.03783
Qatar-2 b,1.3371182,0.02149
Qatar-10 b,1.645321,0.0286
Qatar-1 b,1.42002504,0.02332
PTFO 8-8695 b,0.448413,0.008333
PSR J1544+4937 b,0.1207729895,0.00537
PSR J1502-6752 b,2.48445723,0.04
PSR J1446-4701 b,0.2776660773,0.0093
PSR B1620-26 (AB) b,36525,23
PSR B0943+10 c,1460,2.9
PSR B0943+10 b,730,1.8
PSR B0329+54 b,10139.34,10.26
PSR 1719-14 b,0.090706293,0.0044
PSR 1257 12 d,98.2114,0.46
PSR 1257 12 c,66.5419,0.36
PSR 1257 12 b,25.262,0.19
Proxima Centauri c,1894,1.48
Proxima Centauri b,11.185,0.048
Pr 0211 c,5300,5.8
Pr 0211 b,2.14609,0.03184
POTS-1 b,3.1606296,0.03734
pi Men c,6.26834,0.06702
pi Men b,2091.2,3.22
PDS 70 c,69945,30.2
PDS 70 b,45108,22.7
omi UMa A b,1630,3.9
omi CrB b,187.3,0.83
ome Ser b,277.02,1.1
OGLE2-TR-L9 b,2.4855335,0.0308
OGLE-TR-56 b,1.211909,0.0225
OGLE-TR-3 b,1.1899,0.025
OGLE-TR-211 b,3.67724,0.051
OGLE-TR-182 b,3.9791,0.051
OGLE-TR-132 b,1.689868,0.0306
OGLE-TR-113 b,1.4324772,0.0229
OGLE-TR-111 b,4.01451,0.047
OGLE-TR-109 b,0.589128,0.016
OGLE-TR-10 b,3.10129,0.04162
OGLE-2018-BLG-0740L b,3100,4.2
OGLE-2016-BLG-1190L b,1223.6,2.17
OGLE-2006-109L c,4931,4.5
OGLE-2006-109L b,1790,2.3
OGLE-2005-390L b,3500,2.1
OGLE-2005-071L b,3600,3.6
NY Vir (AB) c,9861.75,7.54
NY Vir (AB) b,2987.745,3.39
nu Oph c,3184.83,5.931
nu Oph b,530.21,1.79
nu Oct b,418,1.2
NSVS 1425 (AB) d,3181,3.12
NN Ser (AB) d,2830,3.39
NN Ser (AB) c,5660,5.38
NLTT 5306 b,1.698,0.00263
NLTT 41135 b,2.889475,0.024
NGTS-9 b,4.43527,0.058
NGTS-8 b,2.4997,0.035
NGTS-7A b,0.67599,0.0139
NGTS-6 b,0.882058,0.016623018
NGTS-5 b,3.3569866,0.0382
NGTS-4 b,1.3373508,0.019
NGTS-3A b,1.6753728,0.023
NGTS-2 b,4.5111204,0.0584
NGTS-10 b,0.7668944,0.0143
NGTS-1 b,2.647298,0.0326
NGC 4349 127 b,677.8,2.38
NGC 2423 3 b,714.3,2.1
mu Leo b,357.8,1.1
mu Ara e,4205.8,5.235
mu Ara d,310.55,0.921
mu Ara c,9.6386,0.09094
mu Ara b,643.25,1.5
MOA-2009-BLG-387L b,1970,1.8
MOA-2009-BLG-266L b,2780,3.2
MASCARA-3 b,5.5514926,0.06971
MASCARA-2 b/KELT-20 b,3.4741085,0.0542
MASCARA-1 b,2.14878,0.043
MARVELS-8 b,36.045,0.215
MARVELS-19 b,122.2,0.52
MARVELS-18 b,117.6,0.51
MARVELS-17 b,103.4,0.45
MARVELS-16 b,31.656,0.2
MARVELS-13 b,147.6,0.54
MARVELS-12 b,252.5,0.85
MARVELS-11 b,11.6121,0.1
MARVELS-10 b,217.3,0.71
LX Ser b,8330,9.1
